x,y,z
30.52,-13.06,987.06
27.71,-12.33,984.92
31.31,-13.49,983.28
30.58,-14.34,984.56
31.25,-13.43,984.68
31.92,-11.66,984.86
31.56,-14.04,984.74
30.27,-13.12,983.76
29.97,-11.96,986.51
30.27,-11.54,985.78
29.48,-13.79,986.21
32.35,-11.17,985.96
29.91,-14.04,983.28
29.24,-13.00,982.91
31.25,-12.21,984.31
30.70,-11.47,985.11
32.84,-12.94,986.39
32.04,-12.70,983.89
28.87,-13.24,983.89
30.15,-10.86,983.70
31.68,-13.37,983.46
30.46,-14.34,983.28
29.24,-13.37,985.60
32.78,-12.27,985.96
29.91,-13.92,983.09
31.74,-12.08,984.44
32.23,-12.82,985.53
30.15,-11.78,983.58
31.19,-12.94,985.41
32.35,-13.67,984.99
28.69,-12.94,985.41
29.48,-13.18,985.66
30.58,-13.00,982.42
32.10,-14.34,983.83
30.70,-13.79,983.22
30.33,-13.06,986.27
30.52,-13.85,984.62
33.33,-11.84,986.69
30.88,-12.76,985.47
31.25,-13.18,986.88
31.49,-13.92,984.68
31.68,-13.24,985.11
28.63,-13.73,987.49
29.48,-14.65,984.37
31.68,-13.61,984.86
29.91,-12.33,984.01
30.21,-12.15,984.19
31.92,-12.27,986.94
31.01,-12.08,983.28
32.17,-11.23,984.01
30.40,-11.96,984.99
31.01,-13.43,985.72
31.19,-14.16,986.02
30.52,-12.94,985.53
30.76,-15.20,984.07
31.98,-12.88,983.95
30.64,-12.76,985.29
31.37,-12.82,984.19
33.39,-11.78,985.66
31.74,-12.15,981.69
31.13,-12.94,985.78
32.96,-14.65,986.27
30.15,-14.22,984.92
31.19,-14.16,983.40
31.56,-13.79,985.84
30.88,-14.04,986.08
31.01,-13.85,983.28
30.40,-15.50,982.79
30.21,-13.61,984.80
32.84,-12.21,985.17
31.62,-14.47,984.25
30.09,-11.47,984.56
29.24,-12.94,984.92
29.24,-12.51,984.62
29.48,-13.55,985.41
31.92,-12.27,985.29
31.19,-13.24,984.99
28.75,-12.21,984.50
31.01,-12.94,984.74
31.62,-13.92,984.86
32.23,-15.20,985.17
