gyroscope.txt

All values are in radians/second. Factory calibration and temperature compensation are still applied to the rate of rotation (angular speeds).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-drift-x estimated-drift-y estimated-drift-z
1.991 1.974 1.1272278 -0.78422546 -0.10118103 0.0326233 0.006210327 -0.0043640137
2.012 1.994 0.710907 -0.61013794 -0.16137695 0.0326233 0.006210327 -0.0043640137
2.031 2.014 0.09649658 -0.44421387 -0.20516968 0.0326233 0.006210327 -0.0043640137
2.052 2.034 -0.5798187 -0.32888794 -0.33499146 0.0326233 0.006210327 -0.0043640137
2.073 2.054 -0.9817352 -0.2721405 -0.5339813 0.0326233 0.006210327 -0.0043640137
2.093 2.074 -0.76805115 -0.07044983 -0.5965271 0.0326233 0.006210327 -0.0043640137
2.112 2.095 -0.19422913 0.31906128 -0.5296936 0.0326233 0.006210327 -0.0043640137
2.131 2.115 0.2084961 0.5702667 -0.45492554 0.0326233 0.006210327 -0.0043640137
2.154 2.135 0.31500244 0.55841064 -0.42781067 0.0326233 0.006210327 -0.0043640137
2.173 2.155 0.3377838 0.3469391 -0.3852234 0.0326233 0.006210327 -0.0043640137
2.193 2.175 0.35583496 0.13543701 -0.3205719 0.0326233 0.006210327 -0.0043640137
2.212 2.195 0.30133057 0.007217407 -0.28581238 0.0326233 0.006210327 -0.0043640137
2.233 2.215 0.20463562 0.021728516 -0.2966919 0.0326233 0.006210327 -0.0043640137
2.253 2.236 0.19210815 0.08370972 -0.28660583 0.0326233 0.006210327 -0.0043640137
2.272 2.256 0.22113037 0.18040466 -0.22250366 0.0326233 0.006210327 -0.0043640137
2.292 2.276 0.20199585 0.31466675 -0.17715454 0.0326233 0.006210327 -0.0043640137
2.313 2.296 0.079071045 0.32469177 -0.047546387 0.0326233 0.006210327 -0.0043640137
2.332 2.316 -0.034576416 0.35401917 0.030334473 0.0326233 0.006210327 -0.0043640137
2.352 2.336 -0.045440674 0.338974 0.11154175 0.0326233 0.006210327 -0.0043640137
2.374 2.356 -0.04547119 0.27835083 0.2403717 0.0326233 0.006210327 -0.0043640137
2.392 2.377 -0.08097839 0.3284912 0.3263855 0.0326233 0.006210327 -0.0043640137
2.412 2.397 -0.09761047 0.46070862 0.422287 0.0326233 0.006210327 -0.0043640137
2.431 2.417 -0.02279663 0.49475098 0.5083313 0.0326233 0.006210327 -0.0043640137
2.453 2.437 0.16317749 0.40203857 0.6223755 0.0326233 0.006210327 -0.0043640137
2.471 2.457 0.36064148 0.2615204 0.7415619 0.0326233 0.006210327 -0.0043640137
2.492 2.477 0.4232788 0.15853882 0.7614136 0.0326233 0.006210327 -0.0043640137
2.511 2.497 0.3737793 0.15562439 0.6432953 0.0326233 0.006210327 -0.0043640137
2.535 2.518 0.31747437 0.20976257 0.483963 0.0326233 0.006210327 -0.0043640137
2.551 2.538 0.2889862 0.25395203 0.34240723 0.0326233 0.006210327 -0.0043640137
2.571 2.558 0.2953949 0.27326965 0.21083069 0.0326233 0.006210327 -0.0043640137
2.591 2.578 0.37568665 0.31478882 0.13349915 0.0326233 0.006210327 -0.0043640137
2.613 2.598 0.5673523 0.42042542 0.13128662 0.0326233 0.006210327 -0.0043640137
2.634 2.618 0.7574005 0.5640106 0.20451355 0.0326233 0.006210327 -0.0043640137
2.652 2.638 0.7618408 0.6660309 0.33396912 0.0326233 0.006210327 -0.0043640137
2.673 2.659 0.50177 0.65182495 0.4788208 0.0326233 0.006210327 -0.0043640137
2.693 2.679 0.10069275 0.42829895 0.5698242 0.0326233 0.006210327 -0.0043640137
2.712 2.699 -0.10510254 0.10891724 0.55848694 0.0326233 0.006210327 -0.0043640137
2.735 2.719 0.062683105 0.037704468 0.49934387 0.0326233 0.006210327 -0.0043640137
2.752 2.739 0.3818512 0.27946472 0.51268005 0.0326233 0.006210327 -0.0043640137
