gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
6.542 6.518 0.0033569336 0.0079956055 -0.055725098
6.554 6.539 -0.0025939941 0.002090454 -0.058120728
6.576 6.559 -0.009002686 0.006362915 -0.06239319
6.596 6.579 -0.007507324 0.013031006 -0.06561279
6.615 6.599 -0.0072784424 0.016113281 -0.067337036
6.631 6.619 -9.3078613E-4 0.0061187744 -0.06817627
6.659 6.639 -0.008544922 -0.0041046143 -0.06817627
6.673 6.659 -0.018753052 0.0074310303 -0.0688324
6.691 6.680 -0.009506226 -0.0048980713 -0.06994629
6.711 6.700 -0.013397217 -0.011001587 -0.07170105
6.738 6.720 -0.02204895 0.010848999 -0.07382202
6.751 6.740 -0.0079956055 0.015960693 -0.07527161
6.772 6.760 0.0020141602 0.0059661865 -0.07633972
6.792 6.780 -0.009719849 -0.007247925 -0.07965088
6.812 6.800 -0.017578125 0.008651733 -0.08242798
6.833 6.821 -0.002822876 0.0046691895 -0.083847046
6.855 6.841 -0.0023498535 -0.009231567 -0.085632324
6.876 6.861 -0.021148682 0.0055999756 -0.08778381
6.899 6.881 -0.0146484375 0.014785767 -0.09072876
6.923 6.901 -0.0045318604 0.00541687 -0.091674805
6.931 6.921 -0.012298584 0.00793457 -0.09240723
6.952 6.941 -0.011947632 -0.002746582 -0.09500122
6.972 6.962 -0.0131073 0.0068511963 -0.095947266
6.993 6.982 -0.0105896 9.765625E-4 -0.094436646
7.012 7.002 -0.0066986084 0.0012359619 -0.094573975
7.039 7.022 -0.012802124 0.0095825195 -0.09799194
7.052 7.042 -0.0067749023 0.026016235 -0.0967865
7.071 7.062 0.026412964 -0.07333374 -0.09436035
7.094 7.082 0.14752197 -0.1091156 -0.27178955
7.128 7.102 -0.07632446 0.31750488 -0.26507568
7.134 7.123 -0.029449463 0.16633606 0.028213501
7.153 7.143 0.03352356 -0.095840454 0.017669678
7.180 7.163 -0.003753662 -0.20819092 -0.046966553
7.199 7.183 -0.16642761 -0.16203308 -0.08808899
7.223 7.203 -0.42311096 -0.031463623 -0.018539429
7.232 7.223 -0.47131348 -0.08848572 0.18583679
7.252 7.243 -0.42225647 -0.22419739 0.5742798
7.273 7.264 -0.21315002 -0.06921387 0.65045166
7.297 7.284 0.22105408 0.12582397 0.096343994
7.317 7.304 0.7200012 0.57514954 -0.11999512
7.335 7.324 1.2209778 0.8885498 0.7975311
7.352 7.344 1.8204193 1.0077515 1.3002625
7.373 7.364 2.550476 1.6025085 1.248352
7.396 7.384 2.9700165 2.252594 1.5780792
7.415 7.405 2.7699432 1.8795624 2.4043884
7.435 7.425 2.4412994 1.0204773 1.8308105
7.453 7.445 2.4776154 0.55070496 0.28582764
7.474 7.465 2.7367249 0.68704224 0.3406067
7.500 7.485 3.0215607 0.628952 1.628891
7.513 7.505 3.1163483 1.1646271 0.9179535
7.534 7.525 2.6681519 2.7388458 -2.3957062
7.554 7.546 2.028244 3.1932373 -3.124237
7.576 7.566 1.4418335 3.4632263 -3.3088837
7.609 7.586 0.54704285 4.166336 -3.6276398
7.614 7.606 -1.2088928 4.147293 -2.3513336
7.634 7.626 -1.8015594 3.192749 -1.3206787
7.654 7.646 -0.85388184 3.3782806 -1.1675873
7.677 7.666 0.046905518 3.3790283 -1.4159546
7.692 7.687 -0.1387024 3.076126 -1.4073181
7.715 7.707 -0.6953583 2.6809692 -1.0312195
7.734 7.727 -0.87187195 0.73651123 -0.770874
7.751 7.747 -1.6454163 -1.2406616 -0.22673035
7.782 7.767 -2.3585358 -3.7035217 0.8162842
