gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
8.359 8.348 0.22595215 -0.051818848 0.3583374
8.379 8.369 0.29943848 0.099624634 0.34654236
8.399 8.389 0.17695618 0.29248047 0.24162292
8.419 8.409 0.038391113 0.29862976 0.17240906
8.440 8.429 0.0038604736 0.17155457 0.1864624
8.459 8.449 0.0121154785 0.08328247 0.18803406
8.480 8.469 0.052993774 0.012863159 0.22613525
8.499 8.489 0.2366333 0.19413757 0.15995789
8.520 8.510 0.17988586 0.35112 0.1296997
8.539 8.530 0.150177 0.23336792 0.1952362
8.560 8.550 0.21658325 0.190979 0.24093628
8.578 8.570 0.08106995 0.11100769 0.36808777
8.599 8.590 0.0914917 -0.0046081543 0.4202881
8.623 8.610 0.23469543 -0.020812988 0.3976593
8.639 8.630 0.2693634 -0.018310547 0.37875366
8.664 8.651 0.32254028 0.116485596 0.30543518
8.678 8.671 0.32704163 0.39793396 0.14813232
8.699 8.691 0.07765198 0.40751648 0.13244629
8.717 8.711 -0.0046691895 0.14147949 0.216568
8.738 8.731 0.10821533 -0.0077819824 0.31236267
8.758 8.751 0.16264343 0.13026428 0.23527527
8.777 8.771 0.11430359 0.30456543 0.12495422
8.798 8.792 0.073913574 0.31478882 0.073272705
8.817 8.812 0.11482239 0.31777954 0.0730896
8.837 8.832 0.0057678223 0.17828369 0.1382904
8.860 8.852 0.0831604 0.15171814 0.13691711
8.876 8.872 0.07640076 0.3070984 0.0743103
8.897 8.892 -0.017440796 0.24620056 0.12104797
8.918 8.912 0.12646484 0.19592285 0.14001465
8.937 8.933 0.18473816 0.2749939 0.14219666
8.960 8.953 0.181427 0.5663452 -0.035064697
8.977 8.973 -0.14529419 0.62239075 -0.102752686
8.997 8.993 -0.205307 -0.04852295 0.33093262
9.018 9.013 0.4603119 -0.3460083 0.55378723
9.037 9.033 0.6390991 -0.0206604 0.49482727
9.076 9.053 0.30932617 0.37921143 0.39001465
9.097 9.074 0.12208557 0.35975647 0.29104614
9.117 9.094 0.18733215 0.17158508 0.29631042
9.137 9.114 0.2833557 0.23725891 0.22758484
9.156 9.134 0.15078735 0.52949524 0.09234619
9.176 9.154 -0.060455322 0.2863617 0.20639038
9.197 9.174 0.16201782 0.06484985 0.19203186
9.216 9.194 0.19517517 0.0856781 0.18798828
9.236 9.215 0.21266174 0.26919556 0.16403198
9.256 9.235 0.12635803 0.466568 -0.03060913
9.275 9.255 -0.04776001 0.3014679 0.036087036
9.296 9.275 0.03968811 0.13368225 0.07928467
9.318 9.295 0.15644836 0.16137695 0.13769531
9.336 9.315 0.15049744 0.17977905 0.21070862
9.358 9.335 0.23490906 0.15846252 0.22001648
9.376 9.356 0.25149536 0.27890015 0.17991638
9.396 9.376 0.15864563 0.4022522 0.20474243
9.415 9.396 0.099090576 0.30604553 0.27163696
9.435 9.416 0.12477112 -0.018981934 0.41175842
9.457 9.436 0.23088074 -0.20077515 0.48013306
9.477 9.456 0.33457947 -0.12358093 0.4411316
9.495 9.476 0.3000946 0.15309143 0.26138306
9.517 9.497 0.1204834 0.46640015 0.029464722
9.539 9.517 -0.002166748 0.5255585 -0.022140503
9.556 9.537 0.014755249 0.35450745 0.082855225
9.577 9.557 0.16191101 0.28060913 0.1113739
9.595 9.577 0.12036133 0.3012085 0.10572815
9.616 9.597 0.09249878 -0.02619934 0.4111786
9.635 9.617 0.4773407 -0.28868103 0.58309937
9.656 9.638 0.6434021 -0.06561279 0.4147339
9.674 9.658 0.35993958 0.3420868 0.23387146
9.694 9.678 0.06213379 0.46879578 0.16516113
9.715 9.698 0.025436401 0.2911682 0.11412048
9.734 9.718 -0.0077056885 0.24079895 0.05783081
9.754 9.738 -0.10359192 0.43249512 -0.022598267
9.774 9.758 -0.08984375 0.56851196 -0.060180664
9.793 9.779 -0.034698486 0.47047424 -0.0016479492
9.814 9.799 0.05039978 0.31640625 0.0769043
9.836 9.819 0.086380005 0.19740295 0.14082336
9.854 9.839 0.08621216 0.015380859 0.26574707
9.873 9.859 0.2137909 -0.099624634 0.37722778
9.893 9.879 0.35049438 0.018630981 0.3403473
9.914 9.899 0.27082825 0.18547058 0.25004578
9.933 9.920 0.1328888 0.08042908 0.3059845
9.953 9.940 0.21557617 -0.076797485 0.3938141
9.973 9.960 0.30291748 4.272461E-4 0.37609863
9.992 9.980 0.17939758 0.2081604 0.29447937
10.012 10.000 0.026428223 0.3817749 0.16523743
10.032 10.020 -0.017120361 0.3925476 0.10684204
10.052 10.040 0.022125244 0.3106537 0.16297913
10.073 10.061 0.10873413 0.28634644 0.21464539
10.092 10.081 0.17295837 0.3714447 0.18727112
10.112 10.101 0.14224243 0.38612366 0.14978027
10.137 10.121 0.13117981 0.3280487 0.11065674
10.152 10.141 0.115997314 0.30670166 0.094940186
10.174 10.161 0.11167908 0.22052002 0.190979
10.192 10.181 0.23861694 0.14938354 0.26919556
10.212 10.202 0.28831482 0.0773468 0.31907654
10.231 10.222 0.29260254 0.036209106 0.32925415
10.251 10.242 0.27301025 0.025604248 0.34391785
10.272 10.262 0.28536987 -9.1552734E-5 0.370224
10.292 10.282 0.30020142 0.11663818 0.29203796
10.312 10.302 0.12348938 0.21517944 0.25364685
10.333 10.322 -0.0053253174 0.22703552 0.21165466
10.352 10.343 -0.069366455 0.19593811 0.17887878
10.371 10.363 -0.11491394 0.15722656 0.19380188
10.391 10.383 -0.034942627 0.16195679 0.20179749
10.411 10.403 0.120788574 0.2841339 0.15153503
10.433 10.423 0.17425537 0.2931366 0.15185547
10.450 10.443 0.16040039 0.14781189 0.23197937
10.471 10.463 0.19703674 0.10610962 0.2714386
10.490 10.483 0.20265198 0.29071045 0.1539917
10.510 10.504 0.05769348 0.38441467 0.08572388
10.533 10.524 -0.039138794 0.2303009 0.14559937
10.550 10.544 0.089401245 0.08416748 0.2112732
10.570 10.564 0.1782074 0.13101196 0.23208618
10.590 10.584 0.19309998 0.24232483 0.21000671
10.610 10.604 0.16957092 0.23225403 0.1547699
10.630 10.624 0.14530945 0.2268219 0.13905334
10.650 10.645 0.060943604 0.26792908 0.14567566
10.670 10.665 0.046051025 0.24040222 0.1796112
10.689 10.685 0.10191345 0.22618103 0.17578125
10.709 10.705 0.09030151 0.21652222 0.21832275
