gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
4.746 4.737 0.028259277 -0.037704468 0.06414795
4.772 4.757 -0.040756226 -0.052520752 0.075546265
4.792 4.778 -0.06541443 -0.059906006 0.076171875
4.811 4.798 -0.029937744 0.0062408447 0.06568909
4.828 4.818 -8.239746E-4 0.037399292 0.050628662
4.848 4.838 0.0025482178 0.023025513 0.046905518
4.868 4.858 -0.0075531006 0.01876831 0.07026672
4.889 4.878 0.022399902 0.028320313 0.098602295
4.908 4.898 0.08544922 0.031402588 0.1179657
4.931 4.919 0.13470459 0.044525146 0.11643982
4.949 4.939 0.17407227 0.028335571 0.13058472
4.977 4.959 0.20614624 -0.0046539307 0.15136719
4.995 4.979 0.21089172 -0.010391235 0.1782074
5.009 4.999 0.1703186 0.010757446 0.19358826
5.027 5.019 0.07992554 0.072387695 0.1822815
5.047 5.039 -0.035110474 0.060455322 0.17608643
5.069 5.060 -0.09706116 0.046569824 0.12547302
5.087 5.080 -0.06607056 0.08427429 0.024398804
5.108 5.100 -0.0103302 0.1026001 -0.039108276
5.128 5.120 -0.012145996 0.107406616 -0.02494812
5.148 5.140 0.0090789795 0.09403992 0.033432007
5.178 5.160 0.02053833 0.05303955 0.07347107
5.189 5.180 -0.021087646 0.044815063 0.14974976
5.210 5.201 -0.106277466 0.036972046 0.20219421
5.232 5.221 -0.16358948 -0.0043945313 0.22721863
5.252 5.241 -0.12882996 -0.012664795 0.22454834
5.273 5.261 6.1035156E-4 0.06513977 0.19230652
5.290 5.281 0.107910156 0.09875488 0.17634583
5.308 5.301 0.08114624 0.12944031 0.22042847
5.330 5.321 -0.04789734 0.15605164 0.2715454
5.348 5.342 -0.14959717 0.1819458 0.2514801
5.368 5.362 -0.2004242 0.24551392 0.21769714
5.388 5.382 -0.18933105 0.30758667 0.20237732
5.408 5.402 -0.17796326 0.35084534 0.21322632
5.427 5.422 -0.20751953 0.3837738 0.25727844
5.447 5.442 -0.23806763 0.38781738 0.29310608
5.469 5.462 -0.23777771 0.37727356 0.27668762
5.488 5.483 -0.17857361 0.36531067 0.3032074
5.508 5.503 -0.12298584 0.33566284 0.30369568
5.533 5.523 -0.10334778 0.28642273 0.29179382
5.549 5.543 -0.05606079 0.23939514 0.26779175
5.568 5.563 0.06175232 0.18252563 0.15866089
5.589 5.583 0.13887024 0.09162903 0.09895325
5.608 5.603 0.14578247 0.14178467 0.13919067
5.629 5.624 0.08001709 0.17417908 0.17616272
5.648 5.644 -0.032546997 0.17321777 0.1376648
5.667 5.664 -0.13468933 0.1512909 0.104599
5.687 5.684 -0.18107605 0.108932495 0.04107666
5.709 5.704 -0.15719604 0.14837646 0.008682251
5.730 5.724 -0.074783325 0.1931305 0.0066070557
5.770 5.744 0.017044067 0.20059204 0.04560852
5.771 5.765 0.03453064 0.13781738 0.0703125
5.812 5.785 -0.03717041 0.06904602 0.14283752
5.831 5.805 -0.07450867 0.020217896 0.19831848
5.852 5.825 -0.028167725 0.0055236816 0.23295593
5.872 5.845 -0.01210022 0.021087646 0.20343018
5.899 5.865 0.00982666 0.07234192 0.16952515
5.909 5.885 0.028121948 0.09069824 0.15447998
5.928 5.906 -0.05886841 0.07533264 0.11647034
5.949 5.926 -0.11103821 0.05831909 0.09147644
5.969 5.946 4.8828125E-4 -0.009628296 0.07763672
5.989 5.966 0.12579346 -0.027160645 0.022491455
6.011 5.986 0.14076233 -0.019622803 0.021316528
6.030 6.006 0.085235596 -0.00932312 0.031661987
6.048 6.026 0.04838562 0.044677734 0.023086548
6.070 6.047 -0.031036377 0.053771973 0.031219482
6.095 6.067 -0.09437561 0.0642395 0.060028076
6.114 6.087 -0.054397583 0.060531616 0.09106445
6.131 6.107 -0.07069397 0.024490356 0.13031006
6.150 6.127 -0.17704773 -0.0076293945 0.13258362
6.191 6.147 -0.23924255 -0.026565552 0.07362366
6.195 6.167 -0.23434448 -0.0084991455 0.0069274902
6.219 6.188 -0.16357422 -0.015579224 -0.045913696
6.230 6.208 -0.09628296 0.0012359619 -0.050857544
6.249 6.228 -0.105026245 0.04244995 -0.020507813
6.273 6.248 -0.17041016 0.050476074 -0.0012512207
6.288 6.268 -0.18252563 0.04321289 0.014419556
6.309 6.288 -0.13705444 0.06806946 0.01159668
6.329 6.308 -0.05319214 0.10241699 -0.008880615
6.349 6.329 0.0128479 0.12850952 0.019042969
6.376 6.349 0.065078735 0.1754303 0.06477356
6.391 6.369 0.112960815 0.1842041 0.13739014
6.414 6.389 0.11836243 0.18229675 0.23200989
6.432 6.409 0.11407471 0.18774414 0.2931366
6.450 6.429 0.10041809 0.1749878 0.3236847
6.472 6.449 0.043777466 0.14601135 0.33872986
6.490 6.470 -0.0069885254 0.15270996 0.3444519
6.510 6.490 -0.017196655 0.18789673 0.3406372
6.529 6.510 -0.032104492 0.18727112 0.35456848
6.550 6.530 -0.059188843 0.12680054 0.3574524
6.574 6.550 -0.048187256 0.09429932 0.3250122
6.590 6.570 0.0154418945 0.07437134 0.28170776
6.610 6.590 0.09541321 0.08026123 0.2421112
6.632 6.611 0.15994263 0.09043884 0.20407104
6.660 6.631 0.17329407 0.07740784 0.16714478
6.670 6.651 0.13066101 0.0569458 0.15034485
6.689 6.671 0.0811615 0.037597656 0.12561035
6.711 6.691 0.06452942 0.05265808 0.11463928
6.729 6.711 0.021972656 0.085754395 0.13630676
6.757 6.731 -0.018234253 0.09005737 0.16430664
6.768 6.751 -0.044647217 0.08828735 0.19488525
6.790 6.772 -0.03529358 0.13391113 0.2188263
6.809 6.792 0.02998352 0.16300964 0.21290588
6.834 6.812 0.06600952 0.17559814 0.2061615
6.852 6.832 0.0095825195 0.14312744 0.2225647
6.869 6.852 -0.031982422 0.10877991 0.24395752
6.891 6.872 0.039901733 0.12890625 0.26896667
6.910 6.892 0.15048218 0.1446228 0.25926208
6.929 6.913 0.23396301 0.1357727 0.24043274
6.948 6.933 0.25254822 0.13978577 0.22563171
6.969 6.953 0.2381897 0.16410828 0.21885681
6.989 6.973 0.16886902 0.19042969 0.21640015
7.009 6.993 0.08921814 0.21141052 0.19950867
7.030 7.013 0.059631348 0.25299072 0.17843628
7.054 7.033 0.070877075 0.28616333 0.14857483
7.071 7.054 0.09043884 0.27696228 0.11001587
7.091 7.074 0.09286499 0.20603943 0.12524414
7.113 7.094 0.0769043 0.18545532 0.1556549
7.142 7.114 0.089767456 0.25993347 0.17030334
7.151 7.134 0.10644531 0.31672668 0.18371582
7.172 7.154 0.07551575 0.3099823 0.17835999
7.190 7.174 0.01600647 0.25845337 0.17355347
7.211 7.195 -0.04335022 0.20108032 0.17642212
7.230 7.215 -0.09150696 0.15614319 0.16156006
7.249 7.235 -0.103378296 0.12019348 0.12745667
7.270 7.255 -0.076187134 0.09793091 0.0736084
7.293 7.275 -0.0332489 0.11035156 -0.005783081
