timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1512177486.764075,0.235628,0.880328,2.931155,-0.345103,-1.870421,-2.537863,0.148686,-0.770948,-0.619299,-0.172810,0.192045,0.091269,-35.136108,-25.749184,-20.141151,,,,,,,
1512177486.784095,0.261181,0.859247,2.853692,-0.451100,-1.528333,-2.751418,0.168621,-0.757351,-0.630861,-0.147243,0.174191,0.154207,-34.242325,-27.247841,-19.099495,,,,,,,
1512177486.804060,0.285385,0.836209,2.778652,-0.379867,-1.817955,-2.624532,0.188702,-0.742107,-0.643170,0.233646,-0.118443,-0.105441,-32.598663,-28.745384,-18.289207,,,,,,,
1512177486.824079,0.292055,0.818582,2.715492,-0.132438,-1.898945,-1.987988,0.196724,-0.730177,-0.654324,0.775459,-0.471879,0.194516,-31.329315,-30.093468,-17.475670,,,,,,,
1512177486.844068,0.291742,0.814783,2.689645,0.138486,-0.673775,-0.126990,0.197316,-0.727577,-0.657037,0.817195,-0.558739,0.143457,-30.658661,-31.142464,-16.731911,,,,,,,
1512177486.864057,0.260987,0.814250,2.698492,-0.358926,-1.605564,0.188774,0.177118,-0.727211,-0.663169,-0.012171,-0.054649,-0.025598,-30.434036,-31.292137,-16.133888,,,,,,,
1512177486.884077,0.218283,0.796637,2.696789,-1.099987,-2.518659,-0.492490,0.151396,-0.715009,-0.682525,-0.285979,0.019437,0.035415,-31.333069,-31.143486,-15.526161,,,,,,,
1512177486.904066,0.170451,0.767300,2.691028,-1.506743,-2.421345,-0.323214,0.122096,-0.694194,-0.709357,-0.191828,-0.281987,0.341742,-31.856827,-30.994270,-14.396645,,,,,,,
1512177486.924085,0.121773,0.740730,2.709064,-1.278530,-1.664251,1.066471,0.089643,-0.674827,-0.732511,0.198046,-0.363381,0.125211,-32.004776,-30.619484,-13.645195,,,,,,,
1512177486.944074,0.066973,0.725887,2.755728,-0.693586,-1.048377,1.762566,0.050053,-0.663799,-0.746234,0.207745,0.012554,-0.026120,-33.049225,-29.421059,-13.335732,,,,,,,
1512177486.964094,0.026334,0.715110,2.792941,-0.580471,-0.680427,1.062954,0.019881,-0.655701,-0.754759,-0.121367,0.234634,0.130980,-34.241653,-27.772850,-13.024757,,,,,,,
1512177486.984082,0.004427,0.703719,2.811215,-0.540064,-0.415540,0.564477,0.003375,-0.647057,-0.762434,-0.130252,0.043618,0.069303,-35.209152,-26.124290,-12.865715,,,,,,,
1512177487.004071,-0.013723,0.697396,2.829309,-0.141313,-0.266968,0.827692,-0.010519,-0.642224,-0.766445,0.010702,-0.072346,-0.036869,-36.032547,-25.825523,-12.333565,,,,,,,
1512177487.024091,-0.034128,0.701064,2.856641,0.437822,-0.100067,1.142622,-0.026074,-0.645031,-0.763711,0.057675,-0.008411,-0.072867,-36.253647,-25.000862,-11.956276,,,,,,,
1512177487.044080,-0.062866,0.715458,2.890013,0.960789,-0.511864,1.279891,-0.047420,-0.655963,-0.753302,0.047542,0.004550,-0.033121,-37.075195,-24.327095,-11.123955,,,,,,,
1512177487.064100,-0.100305,0.736356,2.929384,1.232218,-0.589724,1.430669,-0.074194,-0.671592,-0.737197,0.074774,0.082573,-0.018190,-37.821289,-23.578209,-10.067238,,,,,,,
1512177487.084089,-0.137228,0.755856,2.970343,1.041086,-0.377121,1.265531,-0.099546,-0.685912,-0.720844,-0.039126,0.098509,0.049228,-38.415894,-22.454109,-9.386620,,,,,,,
1512177487.104078,-0.160041,0.768918,2.998495,0.638526,0.009044,0.677909,-0.114525,-0.695358,-0.709480,-0.097755,0.156173,0.051627,-38.714218,-22.154549,-8.708931,,,,,,,
1512177487.124097,-0.163190,0.774629,3.010087,0.168010,0.389546,0.203352,-0.116112,-0.699451,-0.705186,-0.053841,0.176242,0.020264,-38.638611,-22.004448,-8.859505,,,,,,,
1512177487.144086,-0.148060,0.771999,3.008843,-0.314079,0.897956,-0.146203,-0.105701,-0.697569,-0.708678,-0.141400,0.108946,0.097945,-38.337555,-21.703987,-9.461906,,,,,,,
1512177487.164106,-0.116739,0.763284,2.998091,-0.516003,1.341490,-0.421565,-0.084160,-0.691298,-0.717652,-0.239341,0.005003,0.101914,-37.664429,-22.002983,-10.517784,,,,,,,
1512177487.184095,-0.082730,0.757891,2.982435,-0.042073,0.817048,-0.611606,-0.060017,-0.687391,-0.723803,-0.211620,-0.325716,0.141772,-36.767319,-22.526619,-11.575676,,,,,,,
1512177487.204113,-0.062199,0.770876,2.971491,0.976802,0.566799,-0.220334,-0.044587,-0.696764,-0.715913,-0.108184,-0.610152,0.168230,-36.095047,-23.125618,-11.656685,,,,,,,
1512177487.224102,-0.061465,0.795493,2.981606,1.275537,0.371354,0.530619,-0.042994,-0.714209,-0.698611,-0.255056,-0.179392,0.227404,-35.869720,-23.050285,-11.658562,,,,,,,
1512177487.244092,-0.064036,0.817949,3.003887,1.114368,0.898345,0.762520,-0.043753,-0.729745,-0.682318,-0.353098,-0.025122,0.226309,-35.793030,-22.675163,-11.659035,,,,,,,
1512177487.264112,-0.061957,0.837152,3.030748,0.939480,1.164846,0.909099,-0.041459,-0.742739,-0.668296,-0.287216,-0.066877,0.266379,-35.567688,-22.524834,-12.335869,,,,,,,
1512177487.284101,-0.059773,0.849061,3.060860,0.394440,1.285735,0.931469,-0.039468,-0.750660,-0.659509,-0.236807,-0.088497,0.275430,-35.266602,-22.224373,-12.863274,,,,,,,
1512177487.304121,-0.058679,0.852684,3.085430,0.170942,0.809452,0.692043,-0.038587,-0.753049,-0.656832,-0.047366,-0.016650,0.273196,-34.291000,-21.997917,-13.696449,,,,,,,
1512177487.324110,-0.057585,0.851433,3.094086,-0.223109,0.042209,-0.015672,-0.037922,-0.752226,-0.657813,0.088810,0.085630,0.183448,-33.841492,-22.072243,-14.000313,,,,,,,
1512177487.344129,-0.052542,0.840259,3.074579,-0.827394,-0.670393,-0.965035,-0.035044,-0.744816,-0.666349,0.074656,0.132496,0.146589,-32.341446,-22.070000,-13.938057,,,,,,,
1512177487.364118,-0.036637,0.818191,3.032785,-1.347346,-0.703248,-1.501451,-0.025037,-0.729910,-0.683084,0.130979,0.141059,0.081354,-31.142685,-22.368202,-13.723396,,,,,,,
1512177487.384107,-0.015607,0.787051,2.989018,-1.726829,-0.428381,-1.424970,-0.011017,-0.708274,-0.705851,0.134720,0.262535,-0.025701,-29.494553,-22.740730,-14.112602,,,,,,,
1512177487.404127,0.003197,0.751736,2.951753,-1.728441,-0.359273,-1.258445,0.002335,-0.682908,-0.730500,0.206146,0.313829,-0.080458,-27.696396,-23.113029,-14.428062,,,,,,,
1512177487.424116,0.009275,0.722091,2.924199,-1.274075,-0.784548,-0.840778,0.006960,-0.660955,-0.750393,0.255262,0.330953,-0.053562,-26.122330,-23.335670,-14.291557,,,,,,,
1512177487.444134,-0.004380,0.703680,2.910245,-0.735222,-1.359323,-0.381896,-0.003340,-0.647028,-0.762459,0.301497,0.250040,-0.077812,-24.995789,-23.033974,-13.925987,,,,,,,
1512177487.464123,-0.033430,0.693547,2.901541,-0.428455,-1.856752,-0.326950,-0.025702,-0.639269,-0.768554,0.320380,0.233645,-0.130235,-24.394745,-22.883064,-13.181023,,,,,,,
1512177487.484143,-0.064081,0.684641,2.891749,-0.533812,-1.787465,-0.334632,-0.049606,-0.632395,-0.773056,0.292114,0.255777,-0.126281,-23.943161,-22.657387,-12.059746,,,,,,,
1512177487.504133,-0.093419,0.670398,2.888094,-0.835461,-1.474789,0.131155,-0.073094,-0.621298,-0.780158,0.266454,0.202185,-0.123422,-22.666656,-22.430473,-11.095482,,,,,,,
1512177487.524122,-0.122457,0.648493,2.897144,-1.185011,-0.960309,0.602279,-0.097354,-0.603986,-0.791027,0.273989,0.218503,-0.277897,-22.514221,-21.980247,-10.271553,,,,,,,
1512177487.544141,-0.144593,0.621949,2.908782,-1.210343,-0.709444,0.663549,-0.117108,-0.582620,-0.804264,0.216351,0.125421,-0.300824,-21.909576,-21.004341,-9.751198,,,,,,,
1512177487.564130,-0.167500,0.600836,2.923562,-0.784654,-0.736906,0.835926,-0.137519,-0.565332,-0.813319,0.157966,0.081125,-0.255055,-21.755066,-20.104118,-8.852058,,,,,,,
1512177487.584150,-0.194432,0.586396,2.943738,-0.435918,-0.806169,1.017701,-0.160932,-0.553363,-0.817245,0.126874,0.036823,-0.129288,-21.676620,-19.428993,-8.027397,,,,,,,
1512177487.604139,-0.222760,0.575055,2.968512,-0.316060,-0.659979,1.191585,-0.185390,-0.543881,-0.818428,0.044322,0.052624,-0.034294,-21.899063,-18.979332,-6.975273,,,,,,,
1512177487.624158,-0.247753,0.562353,2.995644,-0.425351,-0.424296,1.300623,-0.207462,-0.533178,-0.820171,0.059986,-0.048807,-0.055439,-21.970627,-18.304436,-6.149330,,,,,,,
